emotion,dist_l,dist_r,dist_eyes,dist_mouth_nose,hght_mouth,wdth_mouth
h,72.1734023031,73.6817480792,157.079597657,49,89,284
h,72.3394774656,80.5294977012,158.050624801,46,93,284
h,77.5241897733,86.4522989862,159.078596926,52,92,276
h,84.0773453434,85.0,159.050306507,55,78,265
h,73.1095069057,71.0070419043,147.030609058,63,72,241
h,76.0591874792,73.027392121,150.053323855,59,71,247
h,71.0633520178,70.0642562224,151.029798384,63,76,245
h,71.0070419043,70.1783442381,151.052970841,60,71,247
h,90.6200860737,85.615419172,146.054784242,68,69,246
n,80.3056660517,88.323269867,154.051939293,68,77,238
n,85.3814968245,92.7846970141,158.079094127,76,74,231
n,75.4254598925,75.4254598925,154.051939293,74,70,227
n,76.791926659,79.9061950039,154.116838794,66,67,234
n,74.1080292546,72.1734023031,149.030198282,63,71,226
sa,75.4254598925,76.4198926982,152.05262247,52,67,233
sa,74.8131004571,77.6466354712,153.05227865,55,71,235
sa,79.6303962065,78.7718223732,153.05227865,56,74,231
sa,73.1641988954,75.802374633,155.012902689,52,67,234
sa,77.7817459305,76.5310394546,150.053323855,54,71,237
sa,79.4040301244,77.9294552785,154.051939293,57,69,233
sa,76.5310394546,73.6817480792,153.05227865,55,82,236
sa,75.2396172239,74.6726188104,151.013244452,57,84,237
sa,74.1687265632,73.4370478709,150.013332741,58,80,233
n,74.3303437366,72.4430811051,152.013157325,52,79,234
n,75.1065909225,73.3348484692,147.013604813,56,82,236
n,75.6637297521,78.6384130054,152.05262247,59,72,234
n,75.709972923,76.1183289359,150.053323855,61,68,237
n,73.6817480792,77.6659513558,152.082214608,63,70,240
n,71.2530701093,70.3491293478,145.055161921,64,74,219
n,75.0266619276,76.9415362467,149.083869013,65,79,231
sa,66.8505796534,68.1835757349,143.03146507,65,96,233
sa,68.0073525437,75.5049667241,145.124084838,68,85,241
sa,68.6221538572,77.8781098898,152.118374958,58,95,246
sa,70.8378429937,78.7718223732,154.081147452,60,87,244
sa,59.5399025864,67.3646791724,151.052970841,76,67,239
sa,61.5223536611,68.4689710745,148.084435374,70,81,240
sa,60.5309838017,65.3758365147,151.082758778,81,69,240
